user_id,conversion_timestamp,revenue,order_id
100001,2026-01-22 21:34:04,37.37,ORD_100001_3558
100003,2026-02-15 10:17:06,234.09,ORD_100003_9433
100009,2026-01-04 11:58:10,56.93,ORD_100009_6116
100012,2026-01-28 10:18:16,64.64,ORD_100012_5413
100014,2026-01-17 11:14:53,170.28,ORD_100014_6249
100019,2026-02-04 16:45:03,58.21,ORD_100019_1956
100035,2026-02-03 10:46:17,198.12,ORD_100035_2687
100038,2026-02-03 05:44:05,120.75,ORD_100038_9867
100057,2026-01-27 07:48:29,91.49,ORD_100057_6989
100070,2026-01-26 12:52:57,30.44,ORD_100070_8641
100076,2026-01-31 09:07:09,27.18,ORD_100076_6560
100110,2026-01-27 14:01:31,37.94,ORD_100110_9007
100112,2026-02-18 22:18:13,63.93,ORD_100112_4810
100131,2026-01-30 07:33:45,31.99,ORD_100131_6658
100137,2026-01-18 19:24:19,30.35,ORD_100137_3720
100141,2026-01-07 22:07:23,20.54,ORD_100141_8179
100153,2026-01-07 15:46:36,81.25,ORD_100153_6342
100163,2026-02-03 13:09:28,51.64,ORD_100163_5431
100190,2026-01-19 10:21:11,154.16,ORD_100190_8083
100191,2026-02-09 07:03:51,101.94,ORD_100191_1365
100198,2026-01-07 12:33:14,102.99,ORD_100198_1514
100201,2026-01-22 04:13:13,28.0,ORD_100201_6036
100208,2026-02-13 17:31:03,181.34,ORD_100208_7868
100210,2026-01-15 15:25:11,168.99,ORD_100210_6560
100238,2026-01-09 12:57:10,75.22,ORD_100238_5378
100240,2026-01-22 21:01:04,17.43,ORD_100240_5987
100245,2026-01-16 07:15:39,15.14,ORD_100245_4741
100252,2026-02-12 16:44:28,47.45,ORD_100252_4361
100255,2026-02-05 13:04:59,58.49,ORD_100255_5009
100259,2026-01-19 07:59:10,95.66,ORD_100259_4730
100261,2026-01-23 15:36:29,25.47,ORD_100261_5761
100266,2026-02-01 05:48:42,42.18,ORD_100266_7144
100272,2026-01-22 14:08:30,63.56,ORD_100272_7555
100275,2026-01-17 15:55:30,198.36,ORD_100275_6951
100278,2026-01-15 21:27:41,34.07,ORD_100278_1234
100279,2026-02-05 01:41:40,59.87,ORD_100279_3587
100287,2026-02-04 00:38:28,66.67,ORD_100287_8395
100293,2026-01-20 23:34:50,170.02,ORD_100293_2296
100294,2026-01-21 12:43:05,114.74,ORD_100294_9155
100297,2026-02-11 19:55:18,25.42,ORD_100297_2772
100316,2026-01-19 13:07:30,260.49,ORD_100316_1517
100322,2026-02-12 05:23:29,76.76,ORD_100322_3424
100325,2026-01-13 19:55:57,179.8,ORD_100325_8786
100328,2026-01-24 19:27:11,185.22,ORD_100328_4278
100335,2026-02-01 02:07:33,158.98,ORD_100335_8117
100355,2026-02-03 01:21:43,114.53,ORD_100355_7644
100364,2026-01-09 02:57:59,32.06,ORD_100364_5735
100381,2026-01-28 10:03:10,107.92,ORD_100381_4343
100386,2026-01-18 10:19:06,50.25,ORD_100386_7999
100426,2026-02-22 08:23:30,35.99,ORD_100426_5873
100434,2026-01-30 11:59:44,40.33,ORD_100434_5571
100447,2026-01-21 02:27:54,54.5,ORD_100447_7360
100467,2026-02-18 13:15:59,41.44,ORD_100467_5534
100477,2026-02-10 02:01:42,62.89,ORD_100477_3048
100498,2026-01-21 21:47:14,22.43,ORD_100498_5897
100502,2026-01-08 02:43:39,211.56,ORD_100502_4440
100514,2026-02-08 08:45:02,39.7,ORD_100514_3121
100531,2026-01-20 12:05:15,132.72,ORD_100531_5517
100537,2026-01-06 16:16:01,78.5,ORD_100537_6682
100544,2026-01-11 03:30:23,190.28,ORD_100544_4159
100547,2026-02-11 23:21:28,15.57,ORD_100547_5452
100555,2026-02-04 09:25:39,247.05,ORD_100555_1164
100567,2026-01-14 22:35:56,139.77,ORD_100567_1203
100568,2026-02-02 21:49:12,70.85,ORD_100568_8378
100575,2026-01-17 11:56:21,294.77,ORD_100575_4250
100583,2026-01-19 02:39:44,62.48,ORD_100583_3886
100587,2026-01-29 11:41:57,20.79,ORD_100587_8645
100597,2026-02-04 16:26:29,61.9,ORD_100597_1604
100602,2026-01-23 03:48:18,107.49,ORD_100602_7683
100604,2026-02-06 13:24:38,37.7,ORD_100604_4787
100613,2026-02-08 01:41:45,42.95,ORD_100613_7533
100646,2026-01-21 17:33:42,53.54,ORD_100646_9106
100647,2026-01-21 04:57:39,58.68,ORD_100647_8734
100649,2026-02-16 23:13:59,175.0,ORD_100649_9328
100652,2026-01-27 01:47:09,78.77,ORD_100652_4554
100658,2026-01-26 06:47:09,26.01,ORD_100658_1320
100673,2026-02-15 15:37:30,179.8,ORD_100673_5335
100683,2026-02-04 13:59:30,18.31,ORD_100683_1889
100686,2026-02-16 00:06:46,22.75,ORD_100686_3739
100688,2026-02-10 21:24:19,15.65,ORD_100688_9226
100690,2026-01-05 20:43:42,20.42,ORD_100690_9071
